cif,municipality,prov,mun,base_year,data,notes
c,"Airdrie",2,2,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!64126!70057!76739!84202!92252@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Airdrie",2,3,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!62306!66089!70156!74473!78985@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Airdrie",3,1,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!62961!67487!72393!77655!83227@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Airdrie",3,2,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!63616!68899!74677!80938!87649@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Airdrie",3,3,2000,19165!19165!21979!23680!25606!27069!29035!31512!34116!38091!39822!43155!45711!49560!54891!58690!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Airdrie",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Airdrie",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!62306!66089!70156!74473!78985@,"<ul><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Brooks",1,1,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",1,1,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14380!14575!14792!15026!15261@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",1,2,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",1,2,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14437!14700!14998!15345!15685@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",1,3,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",1,3,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14338!14486!14641!14802!14961@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",2,1,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",2,1,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14408!14643!14910!15225!15532@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",2,2,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",2,2,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14414!14654!14927!15249!15563@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",2,3,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",2,3,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14304!14417!14537!14661!14785@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",3,1,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",3,1,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14310!14429!14554!14685!14814@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",3,2,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",3,2,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14315!14440!14571!14708!14843@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Brooks",3,3,2000,11584!11604!-!-!-!-!12498!13581!-!-!-!13676!-!-!-!14185!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Brooks",3,3,2000,-!-!11783!11962!12140!12319!-!-!13605!13629!13652!-!13803!13931!14058!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Brooks",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14304!14417!14537!14661!14785@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Calgary",1,1,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1256538!1281923!1310002!1339600!1368431@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",1,2,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1262490!1294729!1331516!1371836!1411126@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",1,3,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1251804!1271926!1293414!1315255!1336232@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",2,1,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1256844!1283173!1313746!1347501!1379913@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",2,2,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1257973!1285480!1317287!1352342!1386111@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",2,3,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1245028!1258188!1272518!1287001!1300443@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",3,1,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1246158!1260472!1275985!1291678!1306354@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",3,2,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1247287!1262759!1279458!1296368!1312286@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Calgary",3,3,2000,860749!879003!904987!922315!933495!956078!988812!1019942!1042892!1065455!1071515!1096833!1120225!1149552!1195194!1230915!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Calgary",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Calgary",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1245028!1258188!1272518!1287001!1300443@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",1,1,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",1,1,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18420!18562!18735!18933!19137@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",1,2,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",1,2,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18478!18697!18965!19289!19624@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",1,3,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",1,3,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18383!18477!18585!18699!18816@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",2,1,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",2,1,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18526!18794!19113!19489!19878@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",2,2,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",2,2,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18536!18814!19142!19529!19930@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",2,3,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",2,3,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18422!18554!18701!18855!19013@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",3,1,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",3,1,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18431!18573!18731!18894!19062@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",3,2,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",3,2,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
f,"Camrose",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!18441!18593!18760!18933!19112@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
c,"Camrose",3,3,2000,14290!14870!15253!15669!-!15850!15603!15850!16543!-!-!17286!-!-!18038!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
i,"Camrose",3,3,2000,-!-!-!-!15760!-!-!-!-!16791!17038!-!17537!17787!-!18289!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>In 2001 both municipal and federal census was conducted.</li><li>In 2011 both municipal and federal census was conducted.</li></ul>"
